Gene,Screen 1 P value,Screen 2 P value,Fisher P value,Fisher P adjusted value,Screen 1 log2 Fold Enrichment,Screen 2 log2 Fold Enrichment,Combined log2 Fold Enrichment,Fold Enrichment,Screen 1 'Good' sgRNAs,Screen 2 'Good' sgRNAs
ACLY,0.0051752,6.0982e-4,4.3129789373367195e-5,0.00312451363015949,1.0581,0.88913,0.973615,1.9637550696494208,4,4
MYC,0.069388,1.0194e-4,9.095819889333387e-5,0.005220465090360222,0.25898,1.6851,0.97204,1.9616123946671682,2,2
HSD17B10,1.0091e-4,0.014164,2.066514017431851e-5,0.0025206574269549366,1.0773,0.862,0.9696499999999999,1.9583654351209592,3,3
POLR2J3,0.072567,0.0021905,0.0015493431656314546,0.023688639356911616,0.54094,1.3811,0.96102,1.946685734923991,3,3
ETF1,0.007406,0.014422,0.0010835235575950594,0.020477024914550106,0.86367,1.0578,0.9607350000000001,1.9463012110833464,3,3
C15orf57,0.0045528,0.0048111,2.569082829695189e-4,0.010151769727037959,0.83119,1.0846,0.9578949999999999,1.942473611827234,3,2
PSMD6,0.050187,0.0058299,0.0026732791163157775,0.032809172004510376,0.89257,1.0223,0.957435,1.9418543573070401,3,2
DHODH,0.0043448,0.086767,0.003348874857678201,0.03493546251529899,1.159,0.75359,0.956295,1.9403205337961307,3,2
NONO,2.6421e-4,0.0028396,1.1330930326954556e-5,0.0024377084032224487,0.75263,1.1589,0.955765,1.9396078530272889,4,3
PHB,0.077284,0.0021884,0.0016379827654200636,0.024173549633045698,0.64405,1.2666,0.955325,1.9390163923906378,3,3
SPDYE6,0.0085583,0.0065704,6.06514393472341e-4,0.015817895381758654,0.81997,1.0679,0.943935,1.9237682328327466,4,2
MRPL49,0.064852,0.0021494,0.0013769527959389836,0.02357208890839875,0.6442,1.2382,0.9412,1.9201246894310353,3,2
SKP2,0.0032956,0.031389,0.0010527103890097488,0.02018726981277518,1.1856,0.6913,0.93845,1.9164681207403667,3,3
