Gene,Screen 1 P value,Screen 2 P value,Fisher P value,Screen 1 log2 Fold Enrichment,Screen 2 log2 Fold Enrichment,Combined log2 Fold Enrichment,Fold Enrichment,Screen 1 'Good' sgRNAs,Screen 2 'Good' sgRNAs
VWC2,0.46532,0.14132,0.24473919363294205,0.078322,0.30593,0.192126,1.1424460197795019,2,2
RMND5B,0.55609,0.20203,0.357955552488256,0.024313,0.35528,0.18979649999999998,1.1406028162758681,2,2
ADAMTS3,0.4612,0.089796,0.17328155034329282,0.1536,0.22491,0.189255,1.140174783662993,2,2
TCP11L2,0.12818,0.062809,0.046871905129091854,0.24575,0.13109,0.18842,1.1395150666341305,2,2
DOK6,0.46576,0.088078,0.17203563982802067,-0.17445,0.55057,0.18806,1.1392307555120758,2,2
PAPPA2,0.41034,0.19817,0.28537408984694096,-0.12217,0.49789,0.18786,1.1390728355412687,2,2
RRM1,0.42377,0.16827,0.25961378315898365,0.059684,0.3158,0.18774200000000002,1.1389796730265853,2,2
MOV10L1,0.048663,0.17245,0.04850944417646431,0.12473,0.24949,0.18711,1.1384808305912564,2,2
AZIN2,0.44306,0.20374,0.30736254732202484,0.013808,0.35941,0.186609,1.138085542706695,2,2
ZNF501,0.37325,0.075545,0.1288197247416921,0.12233,0.25066,0.186495,1.1379956161301772,2,2
LYRM2,0.39347,0.16685,0.24444364921893935,-0.028457,0.40115,0.1863465,1.1378784855882997,2,2
SCGN,0.34823,0.1924,0.2481037169120299,-0.14891,0.51969,0.18539,1.1371243275544156,2,2
KIAA1429,0.44507,0.11684,0.20574445144826264,-0.07285,0.44303,0.18508999999999998,1.136887893781301,2,2
ADH1B,0.39349,0.15388,0.23035018212717956,0.015254,0.35365,0.184452,1.1363852413857862,2,2
SPRTN,0.36526,0.077785000000000007,0.1295846386172177,-0.11123,0.47982,0.18429500000000001,1.136261582004972,2,2
LYPD5,0.37412,0.18287,0.25191606406295375,0.17983,0.18798,0.18390499999999999,1.1359544608788115,2,2
SLC30A2,0.14289,0.17657,0.1180696950965223,0.34579,0.021905,0.1838475,1.1359091872222014,3,2
DDX49,0.11304,0.064174,0.04298979893498397,0.36874,-0.0049019,0.18191905,1.1343918321247006,2,2
MED26,0.26943,0.071021,0.09483832281376044,0.23988,0.1235,0.18169000000000002,1.1342117442913888,2,2
TOM1L2,0.51829,0.1715,0.30402750931658973,-0.15304,0.51551,0.181235,1.1338540907620056,2,2
SF3A1,0.50659,0.19473,0.32713686025843436,0.077989,0.28333,0.18065950000000003,1.1334018795334986,2,2
EXOC6B,0.30617,0.18729,0.22126848950778433,0.19769,0.16333,0.18051,1.1332844362782346,2,2
UST,0.26971,0.11982,0.1432329814908977,0.29816,0.062711,0.1804355,1.1332259155873086,2,2
RCBTB1,0.367,0.057652,0.10273878258694384,0.072782,0.2864,0.179591,1.1325627614109732,2,2
RGS6,0.31887,0.12102,0.16419012194073582,-0.058639,0.41661,0.1789855,1.1320875238560026,2,2
PEA15,0.33003,0.20644,0.2511539256091589,0.025055,0.33008,0.1775675,1.1309753612638374,2,2
ACTRT3,0.26652,0.083269,0.10670290721337804,-0.14159,0.48886,0.173635,1.1278967449222832,2,2
HLA-G,0.52551,0.16586,0.29983390764565876,0.07141,0.27465,0.17303000000000002,1.127423856021683,2,2
TOR1A,0.17085,0.20309,0.15132027191563513,0.3374,0.004011,0.17070549999999998,1.1256087900845122,3,2
BAIAP2L1,0.3384,0.18922,0.24001590835328407,0.21718,0.12255,0.16986500000000002,1.1249532124135613,2,2
KRTAP19-7,0.52774,0.063746,0.14775266414188212,0.14917,0.18859,0.16888,1.1241854127757431,2,2
HIST1H3C,0.10283,0.09138,0.05325438517726348,0.17066,0.16681000000000001,0.16873500000000002,1.124072430690899,2,2
ZBED1,0.19399,0.18777,0.1570844737026141,0.13685,0.20035,0.1686,1.123967250681208,2,2
ZC3HC1,0.36338,0.048471,0.08875556881617189,0.057566,0.27926,0.168413,1.1238215731479961,2,2
CNTN2,0.44648,0.13638,0.23130464758240762,0.21954,0.11702,0.16828,1.1237179744139802,2,2
DIS3L,0.57559,0.19507,0.35781010608691183,-0.29593,0.62877,0.16642,1.1222701503018424,2,2
LOXL1,0.55958,0.15404,0.29747790605027663,-0.0059068,0.33313,0.1636116,1.1200876254402832,2,2
POU5F2,0.44508,0.1927,0.29642092022132777,-0.052249,0.3788,0.16327550000000002,1.119826712640181,2,2
ZNF358,0.49547,0.07227,0.1550324664032393,-0.091659,0.41738,0.1628605,1.1195046340039791,2,2
NOX4,0.30071,0.122,0.15794848877595208,0.12152,0.20367,0.162595,1.1192986298769683,2,2
OR6C65,0.070384,0.14781,0.05790166774417193,0.28316,0.039045,0.1611025,1.1181412893833005,2,2
SPATA32,0.12944,0.20787,0.12418461774406475,0.16208,0.1597,0.16089,1.1179766062595293,2,2
COMMD6,0.55977,0.19992,0.3569979366599912,0.055233,0.25651,0.1558715,1.1140944146647362,2,2
ACAD8,0.42832,0.095858,0.17214640944997278,0.11081,0.19508,0.152945,1.1118367700504093,2,2
TTPAL,0.49253,0.15773,0.27618189575387353,0.16455,0.14125,0.15289999999999998,1.111802090597758,2,2
SQLE,0.12779,0.15241,0.09618550139039364,0.032963,0.27243,0.1526965,1.111645275912218,2,2
CBWD2,0.23087,0.076787,0.08921736223617947,-0.0020624,0.30552,0.1517288,1.1108998803829648,2,2
DBNDD2,0.50825,0.075767,0.16392617355963354,0.0050394,0.29821,0.1516247,1.1108197244926996,2,2
PSMB9,0.4936,0.20568,0.33375528946254746,0.24432,0.055762,0.150041,1.1096010054089156,2,2
SPATA22,0.48272,0.18717,0.30755889467863856,0.042159,0.25716,0.1496595,1.1093076261381722,2,2
